item_id,pipeline,judge_model,judge_provider,difficulty,language,audience,source,factual_correctness_ratio,grounding_ratio,hallucination_rate,comments_ground,comments_factual,judge_error
cenka-na-nacionalnata-bezbednost-na-decata-na-internet-za-severna-makedonija-pdf-a,zeroshot:openai,gpt-4o,openai,medium,mk,general,/Users/Marko/Desktop/Faks/cyberbot/backend/merged_pdf/batch4/procenka_na_nacionalnata_bezbednost_na_decata_na_internet_za_severna_makedonija_.pdf,0.0,,,SKIPPED: grounding not applicable for zeroshot mode (no retrieved context),"The system answer does not correctly identify the crimes mentioned in 'Јавна соба' as per the reference answer, which are distribution of child pornography, sharing private acts of adult women without consent, and misuse of personal information.",False
cenka-na-nacionalnata-bezbednost-na-decata-na-internet-za-severna-makedonija-pdf-a,zeroshot:openai,claude-sonnet-4-20250514,anthropic,medium,mk,general,/Users/Marko/Desktop/Faks/cyberbot/backend/merged_pdf/batch4/procenka_na_nacionalnata_bezbednost_na_decata_na_internet_za_severna_makedonija_.pdf,0.0,,,SKIPPED: grounding not applicable for zeroshot mode (no retrieved context),The system answer completely fails to provide the specific criminal acts mentioned in the reference answer and instead offers generic speculation and irrelevant security advice. None of the claims are supported by the reference answer.,False
cenka-na-nacionalnata-bezbednost-na-decata-na-internet-za-severna-makedonija-pdf-a,zeroshot:openai,gpt-4o-mini,openai,medium,mk,general,/Users/Marko/Desktop/Faks/cyberbot/backend/merged_pdf/batch4/procenka_na_nacionalnata_bezbednost_na_decata_na_internet_za_severna_makedonija_.pdf,0.0,,,SKIPPED: grounding not applicable for zeroshot mode (no retrieved context),All claims made in the SYSTEM_ANSWER are incorrect as they do not address the specific criminal acts mentioned in the REFERENCE_ANSWER.,False
cenka-na-nacionalnata-bezbednost-na-decata-na-internet-za-severna-makedonija-pdf-a,zeroshot:openai,deepseek-chat,deepseek,medium,mk,general,/Users/Marko/Desktop/Faks/cyberbot/backend/merged_pdf/batch4/procenka_na_nacionalnata_bezbednost_na_decata_na_internet_za_severna_makedonija_.pdf,0.0,,,SKIPPED: grounding not applicable for zeroshot mode (no retrieved context),"Системскиот одговор не ги наведува конкретните кривични дела споменати во референтниот одговор, туку дава генерални совети за безбедност кои не се релевантни за прашањето.",False
cenka-na-nacionalnata-bezbednost-na-decata-na-internet-za-severna-makedonija-pdf-a,rag_classic:openai:k=1,gpt-4o,openai,medium,mk,general,/Users/Marko/Desktop/Faks/cyberbot/backend/merged_pdf/batch4/procenka_na_nacionalnata_bezbednost_na_decata_na_internet_za_severna_makedonija_.pdf,0.3333333333333333,0.3333333333333333,0.6666666666666667,,"The SYSTEM_ANSWER correctly identifies the sharing of private acts without consent and misuse of personal data as crimes, but includes unsupported claims about the investigation and recommendations for protection.",False
cenka-na-nacionalnata-bezbednost-na-decata-na-internet-za-severna-makedonija-pdf-a,rag_classic:openai:k=1,gpt-4o-mini,openai,medium,mk,general,/Users/Marko/Desktop/Faks/cyberbot/backend/merged_pdf/batch4/procenka_na_nacionalnata_bezbednost_na_decata_na_internet_za_severna_makedonija_.pdf,0.0,0.6666666666666666,0.33333333333333337,,"All claims made in the SYSTEM_ANSWER are not supported by the REFERENCE_ANSWER, which specifically lists certain criminal acts without mentioning the details provided in the SYSTEM_ANSWER.",False
cenka-na-nacionalnata-bezbednost-na-decata-na-internet-za-severna-makedonija-pdf-a,rag_classic:openai:k=1,deepseek-chat,deepseek,medium,mk,general,/Users/Marko/Desktop/Faks/cyberbot/backend/merged_pdf/batch4/procenka_na_nacionalnata_bezbednost_na_decata_na_internet_za_severna_makedonija_.pdf,0.2857142857142857,0.2857142857142857,0.7142857142857143,,"Системскиот одговор содржи неколку тврдења кои не се спомнати во референтниот одговор, како што се деталите за постапката на обвинителството и препораките за заштита.",False
cenka-na-nacionalnata-bezbednost-na-decata-na-internet-za-severna-makedonija-pdf-a,rag_classic:openai:k=3,gpt-4o,openai,medium,mk,general,/Users/Marko/Desktop/Faks/cyberbot/backend/merged_pdf/batch4/procenka_na_nacionalnata_bezbednost_na_decata_na_internet_za_severna_makedonija_.pdf,0.42857142857142855,0.5714285714285714,0.4285714285714286,,"The answer correctly identifies some crimes mentioned in the reference, but includes unsupported claims about other crimes and consequences.",False
cenka-na-nacionalnata-bezbednost-na-decata-na-internet-za-severna-makedonija-pdf-a,rag_classic:openai:k=3,gpt-4o-mini,openai,medium,mk,general,/Users/Marko/Desktop/Faks/cyberbot/backend/merged_pdf/batch4/procenka_na_nacionalnata_bezbednost_na_decata_na_internet_za_severna_makedonija_.pdf,0.2857142857142857,0.7142857142857143,0.2857142857142857,,"The SYSTEM_ANSWER includes several claims that are not supported by the REFERENCE_ANSWER, particularly regarding the mentioned crimes. Only the claims about 'злоупотреба на лични податоци' and 'детска порнографија' are correct.",False
cenka-na-nacionalnata-bezbednost-na-decata-na-internet-za-severna-makedonija-pdf-a,rag_classic:openai:k=3,deepseek-chat,deepseek,medium,mk,general,/Users/Marko/Desktop/Faks/cyberbot/backend/merged_pdf/batch4/procenka_na_nacionalnata_bezbednost_na_decata_na_internet_za_severna_makedonija_.pdf,0.42857142857142855,0.7142857142857143,0.2857142857142857,,"Системскиот одговор додава две кривични дела (посредување во проституција и загрозување на безбедноста) кои не се споменати во референтниот одговор, а исто така додава и препораки кои не се дел од референтниот одговор.",False
cenka-na-nacionalnata-bezbednost-na-decata-na-internet-za-severna-makedonija-pdf-a,rag_classic:openai:k=5,gpt-4o,openai,medium,mk,general,/Users/Marko/Desktop/Faks/cyberbot/backend/merged_pdf/batch4/procenka_na_nacionalnata_bezbednost_na_decata_na_internet_za_severna_makedonija_.pdf,0.375,0.875,0.125,,"The answer correctly identifies some crimes mentioned in the reference, but includes unsupported claims about prostitution and safety threats, and adds unrelated procedural and safety advice.",False
cenka-na-nacionalnata-bezbednost-na-decata-na-internet-za-severna-makedonija-pdf-a,rag_classic:openai:k=5,gpt-4o-mini,openai,medium,mk,general,/Users/Marko/Desktop/Faks/cyberbot/backend/merged_pdf/batch4/procenka_na_nacionalnata_bezbednost_na_decata_na_internet_za_severna_makedonija_.pdf,0.25,0.8888888888888888,0.11111111111111116,,"The SYSTEM_ANSWER includes several claims that are not supported by the REFERENCE_ANSWER, particularly regarding the specific criminal acts mentioned. Only the claims about 'злоупотреба на лични податоци' and 'детска порнографија' are correct.",False
